Node ID,Network (1) X,Network (1) Y,Network (1) Z,Louvain Community,Degree,Weighted Degree,Community Leaders Filter,Betweenness Centrality,Closeness Centrality,Eccentricity,Clustering Coefficient,PageRank
SYBU,0.39304274320602417,-0.28875371813774109,-0.10462162643671036,Community 27,18,19,0,0.22453434765338898,0.93418002128601074,10.5,0,0.060236749482686078
GRINA,-0.38877964019775391,-0.89455747604370117,0.19967378675937653,Community 27,3,3,0,0.0071403114125132561,0.78039991855621338,11.5,0,0.0098636536298218891
CEL,-14.669929504394531,4.8192553520202637,5.1810383796691895,Community 6,2,2,0,1.2102223081456032E-06,0.0010266940807923675,1,0,0.016684897561154415
ZNF658,-14.684304237365723,4.8494815826416016,5.1556487083435059,Community 6,1,1,0,0,0.000684462720528245,2,0,0.00882744890907223
MACC1,-7.0806717872619629,9.52211856842041,-6.1705317497253418,Community 33,6,6,0,0.017657142132520676,0.57236200571060181,13,0,0.032375918789671373
MAN2C1,-7.1142239570617676,9.64121150970459,-6.2031784057617188,Community 33,1,1,0,0,0.49959728121757507,14,0,0.0063184888313533487
PRRT3,2.0662910938262939,-10.281538963317871,-9.1701240539550781,Community 51,2,2,0,0.0035338490270078182,0.4877375066280365,13.5,0,0.012275526775983821
H3C2,2.1876084804534912,-10.18779182434082,-9.2665376663208,Community 51,1,1,0,0,0.43388664722442627,14.5,0,0.0069429472089172261
GID8,7.6962375640869141,8.7312765121459961,1.1192810535430908,Community 52,7,7,0,0.017504049465060234,0.65757429599761963,12,0,0.031579318754570623
PTTG2,7.91904354095459,8.97729206085205,1.1127241849899292,Community 52,1,1,0,0,0.56331461668014526,13,0,0.0055598907385210391
TTC5,4.9102034568786621,1.3465330600738525,-1.6511441469192505,Community 7,11,11,0,0.065615832805633545,0.82311171293258667,10,0,0.035856305741626696
TNFSF10,3.9573085308074951,-0.36128437519073486,-0.484849214553833,Community 7,3,3,0,0.011316788382828236,0.75292807817459106,10.5,0,0.011108585280186496
RAD51B,5.3690123558044434,-1.165255069732666,-2.927314281463623,Community 27,34,34,0,0.2556588351726532,0.90052974224090576,10.5,0.0017825311942959,0.13631789018610971
ZNF587,5.529055118560791,-1.1605737209320068,-3.097175121307373,Community 27,1,1,0,0,0.73264163732528687,11.5,0,0.0051302726768250664
CEBPE,-1.2947099208831787,2.680518627166748,1.7692655324935913,Community 14,33,35,1,0.21543166041374207,0.91624081134796143,10.5,0,0.11887807494285406
GSTM3,-1.5232508182525635,2.8720524311065674,1.9705878496170044,Community 14,1,1,0,0,0.74300700426101685,11.5,0,0.00460738107073646
KRTAP2-1,4.5506196022033691,2.0009255409240723,8.3971357345581055,Community 0,1,1,0,0,0.77591454982757568,10,0,0.0055227123077860214
PCSK6,3.799246072769165,-8.329768180847168,1.0367491245269775,Community 8,7,7,0,0.015432754531502724,0.64626044034957886,11,0,0.030473507676899114
CHDH,2.0606520175933838,-8.1659383773803711,0.32036733627319336,Community 8,6,6,0,0.026352589949965477,0.74826383590698242,10,0,0.021107717813136005
DHRS7,-0.68226277828216553,-7.8613495826721191,0.42983120679855347,Community 5,6,6,0,0.023158207535743713,0.77965754270553589,10.5,0,0.018335718309290972
RBM10,-15.161702156066895,7.5306315422058105,1.0900559425354004,Community 9,1,1,0,0,0.000684462720528245,1,0,0.011446597761727273
ERI1,-15.166042327880859,7.5165877342224121,1.1138010025024414,Community 9,1,1,0,0,0.000684462720528245,1,0,0.011446597761727273
SH3D21,-2.0178995132446289,6.5843348503112793,8.4061794281005859,Community 14,14,15,0,0.053413763642311096,0.82866942882537842,11,0,0.066005040992090133
RASGRP2,-2.0804269313812256,6.717289924621582,8.5413045883178711,Community 14,1,1,0,0,0.684359610080719,12,0,0.0054564827146217016
PPP3CB,1.2143054008483887,1.390329122543335,-0.02792658656835556,Community 27,20,20,0,0.096920043230056763,0.90322327613830566,10,0,0.055187050053820484
WDR46,0.34405264258384705,2.11118221282959,-0.90615707635879517,Community 27,10,10,0,0.019626779481768608,0.85570472478866577,10,0,0.029347639146037156
