Node ID,Network (1) X,Network (1) Y,Network (1) Z,Louvain Community,Degree,Weighted Degree,Community Leaders Filter,Betweenness Centrality,Closeness Centrality,Eccentricity,Clustering Coefficient,PageRank
C20orf27,-7.04938268661499,3.2898993492126465,4.3977322578430176,Community 17,15,17,0,0.11620251834392548,0.84608292579650879,9.5,0,0.067363138728319435
PBK,-7.2405562400817871,3.4683237075805664,4.4854350090026855,Community 17,1,1,0,0,0.69619292020797729,10.5,0,0.005082772343106572
BDNF,-1.548208475112915,-8.0933437347412109,-5.123232364654541,Community 51,11,12,0,0.07521289587020874,0.74692440032958984,11.5,0,0.048246480191294412
TRIM5,-1.6435047388076782,-8.2752141952514648,-5.31168794631958,Community 51,1,1,0,0,0.627632200717926,12.5,0,0.0051356676458981405
PTAFR,10.8435697555542,14.128277778625488,1.8851927518844604,Community 12,1,1,0,0,0.000684462720528245,1,0,0.011446597761727273
IDI2-AS1,10.863415718078613,14.117387771606445,1.9066765308380127,Community 12,1,1,0,0,0.000684462720528245,1,0,0.011446597761727273
CCND1,6.8551845550537109,-3.0402615070343018,-5.1943812370300293,Community 39,8,8,0,0.026891138404607773,0.70366394519805908,11,0,0.032406000781222931
SERPINE2,4.85334587097168,-4.7208218574523926,-6.7940826416015625,Community 40,4,4,0,0.016883205622434616,0.662567138671875,12,0,0.015589651304045224
ABCC1,0.46908599138259888,-0.71171319484710693,-1.9991295337677002,Community 27,18,18,0,0.1526997983455658,0.86213374137878418,9.5,0,0.055863659275561479
BRK1,0.554440438747406,-0.93848168849945068,-2.1905465126037598,Community 27,1,1,0,0,0.70702403783798218,10.5,0,0.0043599349637603825
NR4A3,-0.73804229497909546,4.1977286338806152,1.3339297771453857,Community 34,2,3,0,0.016350103542208672,0.78199535608291626,12,0,0.011160394783283008
EDN2,8.65751838684082,2.1649961471557617,0.31983083486557007,Community 49,9,9,0,0.095973044633865356,0.81104004383087158,11,0,0.032742548427880991
RCC1,-2.295753002166748,6.18880033493042,2.8894796371459961,Community 17,21,22,0,0.09897923469543457,0.86084020137786865,11,0,0.089583965617077321
COPE,-2.4963200092315674,6.4787921905517578,2.9568374156951904,Community 17,1,1,0,0,0.70615386962890625,12,0,0.0051822795504543832
SMTN,-0.39951932430267334,-4.2731528282165527,2.9852678775787354,Community 8,2,2,0,0.0046980828046798706,0.72924280166625977,11.5,0,0.0075709750090080536
FAM117A,-4.3977408409118652,-1.7591270208358765,-3.55403470993042,Community 2,5,6,0,0.020642761141061783,0.72024857997894287,11.5,0,0.022701606847849897
ADH6,-4.7564435005187988,4.32130765914917,-3.4686200618743896,Community 2,2,2,0,0.0045431745238602161,0.63392537832260132,12,0,0.0086944389699570926
PCDHGA8,-10.797025680541992,1.7572355270385742,-7.7048449516296387,Community 11,3,3,0,0.014124504290521145,0.45907345414161682,13.5,0,0.016980027760620908
NKX3-1,-11.020483016967773,1.8448613882064819,-7.7939109802246094,Community 11,2,2,0,0.0070652775466442108,0.41111350059509277,14.5,0,0.012069593398525487
PPIC,-5.7344803810119629,2.630939245223999,0.23724387586116791,Community 34,5,6,0,0.019985610619187355,0.696509838104248,11,0,0.0230729691906127
FANCI,-4.9889369010925293,0.75183624029159546,0.0063627306371927261,Community 34,4,4,0,0.036625560373067856,0.76238250732421875,10,0,0.014966193914435516
KCTD18,-0.20553597807884216,0.56872725486755371,-1.2334206104278564,Community 27,19,19,0,0.14771005511283875,0.92877376079559326,10,0,0.050822717444236346
GSAP,-2.9526665210723877,-3.1969830989837646,0.0021870583295822144,Community 13,6,6,0,0.02329677902162075,0.81377208232879639,10.5,0,0.02172205846412965
NFE2L1,-3.0718882083892822,-3.69315505027771,2.9598736763000488,Community 13,3,3,0,0.008290022611618042,0.74726492166519165,10,0,0.011171690450698889
DUOXA1,-1.2721638679504395,3.6734614372253418,-0.43079915642738342,Community 30,12,12,0,0.055826947093009949,0.74936330318450928,9.5,0,0.047195024016004547
GALNT7,-0.36190697550773621,-6.0031337738037109,1.9170773029327393,Community 4,5,5,0,0.026997033506631851,0.77075499296188354,10.5,0,0.016598074420832557
RFX5,-2.6979460716247559,-9.8261327743530273,4.6729907989501953,Community 8,7,8,0,0.031362909823656082,0.6902463436126709,12.5,0,0.03552691788119313
IL21R,-2.7653543949127197,-9.9722108840942383,4.8775801658630371,Community 8,1,1,0,0,0.58712172508239746,13.5,0,0.0054914225342207208
PKM,0.10685450583696365,1.2140911817550659,-8.96915340423584,Community 72,1,1,0,0,0.62564748525619507,11.5,0,0.0047212863799229593
LRWD1,0.11100248992443085,1.1659027338027954,-8.69456958770752,Community 72,10,10,0,0.076699048280715942,0.74411517381668091,10.5,0,0.035437457200435549
LEPROT,-1.117412805557251,0.54408955574035645,-0.83526158332824707,Community 27,19,20,0,0.17765457928180695,0.88956934213638306,10.5,0,0.053811910392965588
ZNF567,-2.0599601268768311,-0.64453792572021484,0.93525302410125732,Community 43,3,3,0,0.018953291699290276,0.73680490255355835,11.5,0,0.0095518814820880621
RTEL1,4.2511477470397949,2.0605571269989014,8.5676431655883789,Community 0,1,1,0,0,0.77591454982757568,10,0,0.0055227123077860214
SLC52A2,5.65226411819458,5.2501468658447266,-1.811922550201416,Community 3,6,6,0,0.04810633510351181,0.73619043827056885,11,0,0.022319329966975943
CEACAM6,8.21313762664795,7.5879764556884766,-2.6904611587524414,Community 3,3,3,0,0.025466101244091988,0.62168163061141968,12,0,0.013495644186258612
HLA-G,1.1946816444396973,-8.2487030029296875,2.0760173797607422,Community 8,9,9,0,0.028094099834561348,0.75660169124603271,10,0,0.03083593861040557
PHACTR2,-1.4583905935287476,0.76745855808258057,-2.8420088291168213,Community 2,1,1,0,0,0.73611956834793091,11.5,0,0.0043227565330253648
YTHDC2,-0.572363018989563,1.9363453388214111,-2.1037390232086182,Community 27,13,13,0,0.030997423455119133,0.84161502122879028,10.5,0,0.04137017040483873
SUDS3,-0.65886777639389038,2.1943016052246094,-2.3379082679748535,Community 27,1,1,0,0,0.69316500425338745,11.5,0,0.0044259891746210164
RAP2B,-0.96081173419952393,7.2896232604980469,3.2681326866149902,Community 34,9,11,0,0.062921270728111267,0.80129885673522949,11,0,0.042353019117043852
CXCL1,-1.1779729127883911,7.9270954132080078,3.5205955505371094,Community 34,5,6,0,0.014128134585916996,0.72734761238098145,11.5,0,0.027204823394899481
ZC2HC1A,2.8270695209503174,5.669529914855957,1.4474109411239624,Community 30,15,16,0,0.088029146194458008,0.83527439832687378,11,0,0.056277544759322957
